name_common,player_ID,G_tot,WAA_tot,WAA_off_tot,WAA_def_tot,WAR_tot,G_best,WAA_best,WAA_off_best,WAA_def_best,WAR_best,WAA_p162,WAA_off_p162,WAA_def_p162,WAR_p162,WAA_med,WAA_off_med,WAA_def_med,WAR_med,WAA_t7,WAA_off_t7,WAA_def_t7,WAR_t7
Adam Lind,lindad01,1344,-5.54,-2.2199999999999998,-11.2,11.9,151,1.66,2.27,0.06,3.94,-0.6677678571428571,-0.2675892857142857,-1.35,1.4343750000000002,-0.85,-0.24,-1.465,0.9700000000000001,0.4557142857142857,0.6742857142857143,-0.8814285714285715,1.802857142857143
Addison Russell,russead02,533,5.79,-1.0999999999999999,9.29,12.02,151,2.24,0.27,2.72,4.12,1.759812382739212,-0.3343339587242026,2.823602251407129,3.653358348968105,1.82,-0.24,2.63,3.47,1.4475,-0.27499999999999997,2.3225,3.005
Adeiny Hechavarria,hechaad01,811,-5.16,-6.8100000000000005,6.01,4.6,155,0.65,-0.12,1.66,2.23,-1.030727496917386,-1.360320591861899,1.200517879161529,0.918865598027127,-0.755,-0.965,1.02,1.015,-0.7371428571428571,-0.9728571428571429,0.8585714285714285,0.6571428571428571
Adolfo Phillips,phillad01,649,5.92,3.81,1.69,13.68,144,4.03,2.74,1.18,6.01,1.4777195685670264,0.9510323574730356,0.42184899845916796,3.4147303543913714,2.2750000000000004,1.695,0.475,4.145,0.8714285714285714,0.5557142857142857,0.2571428571428571,1.9714285714285713
Adonis Garcia,garciad01,244,-2.34,-0.96,-1.07,0.6399999999999999,134,-0.04,0.19,-0.14,0.59,-1.553606557377049,-0.6373770491803278,-0.7104098360655738,0.42491803278688517,-1.52,-0.57,-0.74,0.25,-0.78,-0.31999999999999995,-0.3566666666666667,0.21333333333333332
Adrian Beltre,beltrad01,2933,54.82,30.67,29.29,95.72,161,7.55,5.36,3.13,9.55,3.0279031708148656,1.6940129560177295,1.6177906580293215,5.286955335833618,3.24,1.22,1.4,5.57,4.878571428571428,3.2871428571428574,1.8842857142857143,7.042857142857143
Adrian Gonzalez,gonzaad01,1929,16.93,10.79,-4.84,42.2,162,4.85,3.33,0.62,6.93,1.4218040435458787,0.906158631415241,-0.40646967340590984,3.544012441679627,1.72,0.98,0.15,3.83,2.6585714285714284,1.6485714285714286,0.09142857142857141,4.8185714285714285
AJ Hinch,hincha.01,350,-3.7199999999999998,-2.83,1.03,0.04000000000000003,120,-0.01,0.14,0.77,0.82,-1.7218285714285715,-1.3098857142857143,0.4767428571428572,0.01851428571428573,-0.54,-0.61,0.77,0.82,-0.5314285714285715,-0.4042857142857143,0.14714285714285713,0.005714285714285718
Akinori Iwamura,iwamuak01,408,-1.2800000000000002,0.7100000000000001,-0.85,4.5200000000000005,152,0.79,0.91,0.76,3.09,-0.5082352941176471,0.28191176470588236,-0.33749999999999997,1.7947058823529414,0.55,0.72,0.24,2.635,-0.32000000000000006,0.17750000000000002,-0.2125,1.1300000000000001
Al Brancato,brancal01,282,-6.94,-4.33,-1.01,-3.57,144,-0.31,-0.31,0.03,-0.05,-3.986808510638298,-2.4874468085106383,-0.5802127659574469,-2.050851063829787,-2.95,-1.46,-0.52,-1.02,-1.735,-1.0825,-0.2525,-0.8925
Al Bridwell,bridwal01,1252,4.2,5.33,7.71,19.169999999999998,147,3.61,2.91,1.83,5.51,0.5434504792332269,0.6896645367412141,0.9976198083067093,2.4804632587859423,0.61,0.76,1.05,2.31,0.9914285714285714,1.0314285714285714,1.0557142857142858,2.794285714285714
Al Bumbry,bumbral01,1496,6.08,6.08,-1.78,24.48,160,3.93,3.68,1.06,6.08,0.6583957219251337,0.6583957219251337,-0.19275401069518716,2.650909090909091,0.99,0.545,0.13,2.96,1.352857142857143,1.1414285714285715,0.027142857142857153,3.1514285714285712
Al Burch,burchal01,611,-5.81,-5.3500000000000005,-2.91,2.24,152,0.19,0.09,0.09,2.31,-1.540458265139116,-1.4184942716857611,-0.7715548281505729,0.5939116202945991,-0.23,-0.64,-0.23500000000000004,1.715,-0.9683333333333334,-0.8916666666666667,-0.485,0.37333333333333335
Al Cowens,cowenal01,1584,-4.82,-5.58,-4.24,15.25,162,3.08,2.44,0.57,5.35,-0.4929545454545454,-0.5706818181818182,-0.4336363636363636,1.5596590909090908,-0.4,-0.03,-0.27,1.77,0.4142857142857143,0.1557142857142857,-0.18142857142857144,2.2642857142857142
Al Dark,darkal01,1828,13.88,12.36,12.21,43.21,156,3.61,3.15,2.39,6.2,1.2300656455142231,1.0953610503282274,1.0820678336980307,3.829332603938731,1.2,0.77,1.06,3.54,2.31,1.857142857142857,1.3985714285714286,4.724285714285714
Al Ferrara,ferraal01,574,-0.44999999999999996,2.06,-4.28,5.11,138,1.07,1.49,0.03,2.47,-0.12700348432055747,0.5813937282229965,-1.20794425087108,1.4421951219512195,0.38,1.03,-0.95,1.85,0.0028571428571428615,0.35,-0.5928571428571429,0.7671428571428571
Al Gallagher,gallaal01,442,-1.87,-1.22,0.27,2.9699999999999998,136,0.59,0.37,0.46,2.26,-0.6853846153846154,-0.44714932126696827,0.09895927601809955,1.0885520361990948,0.59,0.37,0.46,2.26,-0.4675,-0.305,0.0675,0.7424999999999999
Al Gionfriddo,gionfal01,228,-1.8399999999999999,-0.31999999999999995,-1.84,0.42000000000000004,122,-0.06,0.53,0,1.04,-1.3073684210526315,-0.22736842105263153,-1.3073684210526315,0.298421052631579,-0.43,0.53,-1.08,1.04,-0.45999999999999996,-0.07999999999999999,-0.46,0.10500000000000001
Al Glossop,glossal01,309,-3.75,-3.1500000000000004,0.63,-0.16000000000000003,121,0.02,-0.17,0.49,0.85,-1.9660194174757282,-1.6514563106796118,0.3302912621359223,-0.08388349514563108,-1.82,-1.31,0.08,-0.16,-0.75,-0.63,0.126,-0.03200000000000001
Al Halt,haltal01,257,-2.63,-1.58,0.2899999999999999,-1.03,151,-0.33,-0.28,0.69,0.57,-1.6578210116731518,-0.9959533073929961,0.18280155642023344,-0.6492607003891051,-0.33,-0.28,0.69,0.57,-0.8766666666666667,-0.5266666666666667,0.09666666666666665,-0.3433333333333334
Al Kaline,kalinal01,2834,55.51,41.02,2.7700000000000005,92.75,153,6.39,5.07,2.25,8.39,3.173119266055046,2.344827099505999,0.1583415666901906,5.301870148200424,3.58,2.24,0.36,5.53,5.047142857142857,3.7214285714285715,0.81,6.977142857142857
Al Kozar,kozaral01,285,-3.87,-1.81,-0.8700000000000001,-0.74,150,-0.5,-0.3,0.09,-0.22,-2.1997894736842105,-1.028842105263158,-0.49452631578947376,-0.4206315789473684,-2.07,-1.01,-0.4,-0.22,-1.29,-0.6033333333333333,-0.29000000000000004,-0.24666666666666667
Al Libke,libkeal01,254,-1.6099999999999999,-1.69,-1.02,1.47,130,-0.61,-0.58,-0.51,0.76,-1.0268503937007873,-1.0778740157480313,-0.6505511811023622,0.9375590551181102,-0.8049999999999999,-0.845,-0.51,0.735,-0.8049999999999999,-0.845,-0.51,0.735
Al Lopez,lopezal01,1950,-5.34,-7.1000000000000005,7.62,16.64,140,1,0.71,0.74,2.37,-0.4436307692307693,-0.5898461538461539,0.6330461538461539,1.3824,-0.17,-0.28,0.49,1.26,0.2785714285714286,0.10857142857142857,0.5457142857142857,1.6757142857142857
Al Martin,martial03,1232,-7.1,-1.9000000000000001,-9.26,7.37,155,0.48,0.96,0.18,1.9,-0.933603896103896,-0.24983766233766236,-1.21762987012987,0.9691071428571428,-0.5349999999999999,0.21,-1.21,0.9850000000000001,-0.31,0.20857142857142855,-0.8942857142857142,1.207142857142857
Al Myers,myersal01,833,-4.6,-1.5,-0.8800000000000001,7.75,135,1.26,1.22,0.45,3.09,-0.8945978391356542,-0.2917166866746699,-0.171140456182473,1.507202881152461,-1.26,-0.57,-0.01,0.8,-0.41000000000000003,-0.16142857142857142,0.02571428571428571,1.0957142857142856
Al Newman,newmaal01,854,-5.64,-7.11,4.84,2.46,144,0.05,-0.12,1.88,1.56,-1.0698829039812645,-1.348735362997658,0.9181264637002341,0.4666510538641686,-0.095,-0.6699999999999999,1.19,1.5350000000000001,-0.5685714285714286,-0.7428571428571429,0.5828571428571429,0.4542857142857143
Al Oliver,oliveal01,2368,11.9,15.35,-12.68,43.69,163,2.91,3.7,0.23,5.25,0.8141047297297298,1.0501266891891892,-0.8674662162162162,2.988927364864865,1.28,1.365,-0.32,3.285,2.0157142857142856,1.9442857142857144,-0.4142857142857143,4.015714285714286
Al Pilarcik,pilaral01,668,-3.88,-3.02,-2.66,1.8200000000000003,142,0.95,0.5,0.01,2.43,-0.9409580838323354,-0.7323952095808384,-0.6450898203592815,0.44137724550898216,0.1,0.04,-0.36,1.09,-0.6466666666666666,-0.5033333333333333,-0.44333333333333336,0.3033333333333334
Al Rosen,rosenal01,1044,19.24,18.53,0.39999999999999997,32.6,155,7.93,6.98,0.97,10.05,2.98551724137931,2.875344827586207,0.06206896551724137,5.058620689655172,2.79,3.03,-0.26,4.59,2.8714285714285714,2.77,0.058571428571428566,4.752857142857143
Al Scheer,scheeal01,281,0.95,1.2,-1.81,2.62,155,0.76,0.69,-0.25,1.73,0.5476868327402136,0.691814946619217,-1.0434875444839857,1.5104626334519575,0.6699999999999999,0.685,-0.78,1.4649999999999999,0.31666666666666665,0.4,-0.6033333333333334,0.8733333333333333
Al Shaw,shawal02,474,1.42,3.5,-3.73,5.64,132,1.94,2.15,-0.03,2.55,0.48531645569620246,1.1962025316455696,-1.2748101265822784,1.9275949367088605,0.26,0.78,-1.26,1.05,0.284,0.7,-0.746,1.1280000000000001
Al Simmons,simmoal01,2215,34.82,28.57,-1.1099999999999999,68.77,154,5.51,5.07,0.92,7.9,2.5466546275395032,2.0895440180586906,-0.08118284424379231,5.029679458239277,2.49,2.075,-0.095,4.795,4.312857142857143,3.7271428571428573,0.10142857142857142,6.538571428571428
Al Smith,smithal04,1517,1.4699999999999998,6.65,-9.69,20.09,154,2.63,3.29,0.88,4.7,0.1569808833223467,0.7101516150296638,-1.0347923533289387,2.1454054054054055,0.27,0.8,-1.1,2.06,0.9985714285714286,1.2442857142857142,-0.6571428571428571,2.815714285714286
Al Spangler,spangal01,912,-5.5200000000000005,-1.8199999999999998,-6.63,4.390000000000001,135,0.71,0.69,0.52,2.16,-0.9805263157894737,-0.3232894736842105,-1.1776973684210525,0.7798026315789475,-0.44,0.45,-1.64,1.45,0.1557142857142857,0.22142857142857142,-0.2957142857142857,0.9400000000000001
